cityid_ppn,city,state_code,country_code,remove tag
800000541,Edwards,IL,US,
800000542,El Paso,IL,US,
800000543,Elizabethtown,IL,US,
800000544,Elmwood Park,IL,US,
800000545,Evergreen Park,IL,US,
800000546,Farmington,IL,US,
800000547,Forest Park,IL,US,
800000548,Fox Lake,IL,US,
800000549,Fox River Grove,IL,US,
800000550,Fulton,IL,US,
800000551,Geneseo,IL,US,
800000552,Gilman,IL,US,
800000554,Glenview Nas,IL,US,
800000555,Glenwood,IL,US,
800000557,Grayslake,IL,US,
800000558,Grayville,IL,US,
800000559,Greenup,IL,US,
800000560,Hampshire,IL,US,
800000561,Harrisburg,IL,US,
800000562,Harvey,IL,US,
800000563,Herrin,IL,US,
800000564,Highland,IL,US,
800000565,Highwood,IL,US,
800000566,Hinckley,IL,US,
800000567,Huntley,IL,US,
800000568,Hutsonville,IL,US,
800000569,Ina,IL,US,
800000570,Kenney,IL,US,
800000571,Kewanee,IL,US,
800000572,Kilbourne,IL,US,
800000573,Kinsman,IL,US,
800000574,Le Roy,IL,US,
800000575,Lemont,IL,US,
800000576,Lena,IL,US,
800000577,Lockport,IL,US,
800000578,Machesney Park,IL,US,
800000579,Makanda,IL,US,
800000580,Marengo,IL,US,
800000581,Marshall,IL,US,
800000582,Mascoutah,IL,US,
800000583,Mc Lean,IL,US,
800000584,Mendota,IL,US,
800000585,Midlothian,IL,US,
800000586,Monmouth,IL,US,
800000587,Montgomery,IL,US,
800000588,Monticello,IL,US,
800000590,Nashville,IL,US,
800000591,Nauvoo,IL,US,
800000592,New Lenox,IL,US,
800000593,Okawville,IL,US,
800000594,Olney,IL,US,
800000595,Olympia Fields,IL,US,
800000596,Oregon,IL,US,
800000598,Palos Heights,IL,US,
800000599,Palos Park,IL,US,
800000601,Paxton,IL,US,
800000602,Pekin,IL,US,
800000603,Percy,IL,US,
800000604,Pinckneyville,IL,US,
800000605,Port Byron,IL,US,
800000606,Princeton,IL,US,
800000607,Red Bud,IL,US,
800000608,Richmond,IL,US,
800000609,River Grove,IL,US,
800000610,Riverside,IL,US,
800000611,Robinson,IL,US,
800000612,Rock Falls,IL,US,
800000613,Rockton,IL,US,
800000614,Roscoe,IL,US,
800000615,Roselle,IL,US,
800000616,Round Lake,IL,US,
800000617,Savanna,IL,US,
800000618,Savoy,IL,US,
800000619,Sheffield,IL,US,
800000620,Silvis,IL,US,
800000621,Sparta,IL,US,
800000622,Staunton,IL,US,
800000623,Streamwood,IL,US,
800000624,Taylorville,IL,US,
800000625,Washburn,IL,US,
800000626,Waterloo,IL,US,
800000627,Watseka,IL,US,
800000628,Wauconda,IL,US,
800000629,West Chicago,IL,US,
800000630,Western Springs,IL,US,
800000631,Wheaton,IL,US,
800000632,Wilmington,IL,US,
800000633,Winthrop Harbor,IL,US,
800000634,Wonder Lake,IL,US,
800000635,Woodridge,IL,US,
800000636,Zion,IL,US,
800000637,Austin,IN,US,
800000638,Bluffton,IN,US,
800000639,Brazil,IN,US,
800000641,Cedar Lake,IN,US,
800000642,Charlestown,IN,US,
800000643,Cicero,IN,US,
800000644,Culver,IN,US,
800000645,Daleville,IN,US,
800000646,Danville,IN,US,
800000647,Decatur,IN,US,
800000649,Fort Branch,IN,US,
800000650,Frankfort,IN,US,
800000651,French Lick,IN,US,
800000652,Garrett,IN,US,
800000653,Gary,IN,US,
800000654,Hanover,IN,US,
800000655,Hebron,IN,US,
800000656,Huntingburg,IN,US,
800000657,Jonesboro,IN,US,
800000658,Lawrenceburg,IN,US,
800000659,Lebanon,IN,US,
800000660,Linton,IN,US,
800000662,Munster,IN,US,
800000663,Nashville,IN,US,
800000664,New Carlisle,IN,US,
800000665,New Haven,IN,US,
800000666,North Vernon,IN,US,
800000667,Peru,IN,US,
800000668,Rensselaer,IN,US,
800000669,Rockport,IN,US,
800000670,Rockville,IN,US,
800000672,Syracuse,IN,US,
800000673,Tipton,IN,US,
800000674,Upland,IN,US,
800000675,Wabash,IN,US,
800000678,Whitestown,IN,US,
800000679,Winamac,IN,US,
800000680,Winchester,IN,US,
800000681,Arkansas City,KS,US,
800000682,Atchison,KS,US,
800000683,Belleville,KS,US,
800000684,Beloit,KS,US,
800000685,Bonner Springs,KS,US,
800000686,Caney,KS,US,
800000687,Cheney,KS,US,
800000688,Cherryvale,KS,US,
800000689,Coffeyville,KS,US,
800000690,De Soto,KS,US,
800000691,Frontenac,KS,US,
800000692,Gardner,KS,US,
800000693,Great Bend,KS,US,
800000694,Greensburg,KS,US,
800000695,Grinnell,KS,US,
800000696,Iola,KS,US,
800000697,Lansing,KS,US,
800000698,Larned,KS,US,
